code;sex;ARO_mean.old.dis.inc;ARO_mean.old.dis.corr;ARO_mean.old.fea.inc;ARO_mean.old.fea.corr;ARO_mean.old.neu.inc;ARO_mean.old.neu.corr;ARO_mean.new.dis.inc;ARO_mean.new.dis.corr;ARO_mean.new.fea.inc;ARO_mean.new.fea.corr;ARO_mean.new.neu.inc;ARO_mean.new.neu.corr
ao0304;f;1,8;1,93333333333333;1,63636363636364;1,72727272727273;1;1,04545454545455;2,5;1,8695652173913;1,75;1,64705882352941;1;1,04761904761905
ap1201;m;1,33333333333333;1,9;1,63636363636364;1,79166666666667;1;1,28;1,25;1,61904761904762;2;1,52173913043478;1;1,05263157894737
at0305;f; ;2,2;2;1,90625;1,25;1,7;1,2;1,45;2;1,47826086956522;1,5;1
aw1310;f;2,1;2,52;2,3125;2,63157894736842;1,57142857142857;1,67857142857143;3;2,34782608695652;1,5;2,33333333333333;1,83333333333333;1,42105263157895
aw2204;f;1,28571428571429;1,5;1;1,23333333333333;1;1,03703703703704;1,33333333333333;1,27272727272727;1;1,2;1,2;1,05
az2106;f;3;2,84848484848485;1,5;3,21212121212121;1;1,73529411764706;2;2,5;2,8;2,3;1;1,22727272727273
bs3108;f;1,9;1,68;1,7;2;1,11764705882353;1;1,64285714285714;1,6;2;1,90909090909091;1,17647058823529;1,125
dd1904;m;1,4;1,6;1,6;2,16666666666667;1;1,25925925925926;1,42857142857143;1,61111111111111;2,75;1,76190476190476;2;1,22727272727273
dp3001;f; ;2,82857142857143; ;2,62857142857143;1,2;1,33333333333333;2,5;2,41176470588235;2,33333333333333;2,5;1,6;1,15
ec2901;f;2;2,58823529411765;2,5;2,67741935483871;1,75;1,25806451612903;2,6;2;2,75;2,1875;1,30769230769231;1,25
ef3001;f; ;1,91428571428571;2,5;2,64516129032258;1;1,06896551724138;2;1,65;1;2,36363636363636;1;1
es0612;f;1;2,38235294117647;1;2,12121212121212;2;1,24242424242424;3;1,52173913043478;2;2;2;1,04347826086957
jb0710;m;1,2;1,43333333333333;1,5;1,66666666666667;1;1,17391304347826;1,4;1,06666666666667;1,57142857142857;1,66666666666667;1;1,15789473684211
jg2105;f;2;2,11538461538462;2;2,5;1,2;1,5;2;2,0952380952381;2,16666666666667;2,05263157894737;1;1,13636363636364
jn2904;m;1,75;2,16;1,875;2,04545454545455;1,35714285714286;1,27777777777778;1,5;2,0625;2,25;2,10526315789474;1,33333333333333;1,44444444444444
jo2506;m;1;1,71428571428571;1,8;1,83333333333333;1,22222222222222;1,125;1,30769230769231;1,58333333333333;1,38461538461538;1,5;1;1,08695652173913
js0107;m;1,22222222222222;1,88461538461538;1,22222222222222;1,42307692307692;1,2;1,52;1,16666666666667;1,26315789473684;1,36363636363636;1,85714285714286;1;1,14285714285714
jt1103;m;2,57142857142857;2,92857142857143;3,28571428571429;3,14285714285714;1,88461538461538;2,33333333333333;3,5;2,55;3,2;2,95;1;1,25
kc0110;f;2;2,3030303030303;2,25;2,35483870967742;1,14285714285714;1,35714285714286;2,75;1,95;2,125;2,1875;1;1,36842105263158
kk0709;f;1,6;2,54166666666667;2,25;2,42857142857143;1,14285714285714;1,7;2,25;2,23529411764706;2;1,75;1,11111111111111;1,18181818181818
km0404;m;3,5;3;3,33333333333333;3,55;2,8;2,75;3,1;3,16666666666667;3,66666666666667;3,88888888888889;3,125;1,25
kn0508;m;1,66666666666667;2,13793103448276;2,125;2,11111111111111;1,65;1,66666666666667;1,875;2;2;1,95454545454545;2,5;1,68181818181818
ko1307;f;2,4;2,86666666666667;3,16666666666667;3,42857142857143;2;1,61538461538462;3;2,59090909090909;3,2;2,9;1,5;1,47619047619048
ks1308;f;1,63636363636364;3;1,78571428571429;3,0952380952381;2,05882352941176;2,52941176470588;4;2,375;2,6;2,15;2,4;1,68421052631579
kz1805;f;2,5;2,51515151515152;1;2,55882352941176;1,5;1,51515151515152;2;1,57894736842105;2,42857142857143;2,44444444444444;1,14285714285714;1,05555555555556
lf2312;m;1,83333333333333;2,68965517241379;1,6;2,88;1,13333333333333;2,05;2,25;1,94117647058824;2;1,6;2;1,21052631578947
md1901;f;4,25;2,29032258064516;2,33333333333333;2,25;1;1,2;2,66666666666667;2,18181818181818;3,5;2,42857142857143;1,5;1,04347826086957
md2011;f;2;2,39393939393939;2;2,11764705882353;1,6;1,36666666666667;2,2;1,85;2;2,4;1,5;1,47368421052632
mk1708;m;2,38461538461538;2,40909090909091;3,13333333333333;2,7;1,47058823529412;1,77777777777778;2,5;2,34782608695652;1;2,83333333333333;2;1,8695652173913
mk2606;m;2;2,54838709677419;2,6;2,35714285714286;1,16666666666667;1,17391304347826;2,5;2,35294117647059;2,66666666666667;2,25;1,5;1,05555555555556
mk3110;m;1,5;1,80645161290323;1,125;1,44444444444444;1;1,04761904761905;1,71428571428571;1,55555555555556;1,75;1,19047619047619;1;1
ml1104;m;1;1,24242424242424;1,61538461538462;1,7;1;1;1,08333333333333;1,15384615384615;1,72727272727273;1,57142857142857;1;1
ml2906;m; ;3,12121212121212;2;2,29411764705882;1;1,78787878787879;2;2,65217391304348;1,5;2,04545454545455;1,33333333333333;1,36363636363636
mm0511;f;1,11111111111111;2,11764705882353;1,875;2,23809523809524;1;1,6;1,85714285714286;1,76470588235294;1;1,82608695652174;1;1
mn0809;m; ;1,88235294117647;1,5;1,92592592592593;1,09090909090909;1,25;1,5;1,38095238095238;2,33333333333333;1,72727272727273;1,33333333333333;1,22727272727273
mp0108;f;2,16666666666667;2,13793103448276;2,08333333333333;3;1,14285714285714;1,28571428571429;2,2;2,25;2,75;2,23529411764706;1,2;1,35
mp1906;m;1;3,32352941176471;1,75;3,12903225806452;2;2,32352941176471;2,5;2,72727272727273;2,875;2,64705882352941;1,75;1,76190476190476
mr1401;m;1,2;1,16666666666667;1;1,09090909090909;1;1;1,2;1;1;1,05263157894737;1;1,04347826086957
ms2803;f;1,66666666666667;2,80645161290323;2,25;2,32258064516129;1,4;1,52;2;1,875;2;1,86363636363636;2;1,375
mw0203;m;1,5;2,96969696969697;2,57142857142857;3,46428571428571;2,28571428571429;1,67857142857143;3;2,94736842105263;3;3,26315789473684;1,66666666666667;1,54545454545455
pk1603;f;2;2,76470588235294;3;2,91176470588235;2,27272727272727;3;1,66666666666667;2,68181818181818;4;3,0952380952381;1,5;2,95652173913043
pl2703;f;1;1,29032258064516;1,16666666666667;1,58620689655172;1,33333333333333;1,03125;1;1,04347826086957;2;1,70833333333333;1;1
ps1505;m;2,57142857142857;3,62962962962963;4,1;4,16666666666667;1,375;1,41176470588235;5;3,08695652173913;4,5;4,17391304347826;1,33333333333333;1,72727272727273
ps2706;m;2;2,28125;1,35714285714286;2,52380952380952;1,1;1,41666666666667;2,2;1,65;2,25;1,76190476190476;1;1,15
pt1408;m;1,85714285714286;1,91666666666667;2,2;2,26666666666667;1,21739130434783;1,27272727272727;2;1,875;2,25;1,85714285714286;1;1,125
pw1505;m;1,66666666666667;2,75;2,88888888888889;2,96;1;1,25;3;2,2;2,90909090909091;2,53846153846154;1,71428571428571;1,16666666666667
rs1202;m;1,33333333333333;1,4;1,47058823529412;1,35294117647059;1,06666666666667;1,15;1;1,45454545454545;1;1,27272727272727;1;1,17391304347826
sb0804;m;1,5;2,12121212121212;2,5;2,24242424242424;1,5;1,84848484848485;2;2,1304347826087;2,16666666666667;2,26315789473684;1,25;1,80952380952381
tw1008;m;2;1,65625; ;1,58823529411765;1;1,03448275862069;1,4375;1,66666666666667;1,33333333333333;1,55555555555556;1,14285714285714;1
ug0501;f;2,25;2,93548387096774;1,83333333333333;3,24137931034483;1,75;2,19354838709677;2,91666666666667;2,69230769230769;3,3;2,2;1,5;1,86666666666667
wl2611;f;2,85714285714286;3,07407407407407;2,90909090909091;3,04347826086957;2,66666666666667;2,34782608695652;3;3,23809523809524;4;3;1,5;2,13636363636364
wp0907;m;1;1,23529411764706;1;1,21212121212121;1;1;1;1,19047619047619;1,16666666666667;1,21052631578947;1;1
