code;wordpair;emotion;grammar;semantics;oldnew;emo;new;corr;resp1;RT1;resp2;RT2;kod_os;impact;disgust;fear;valence;arousal;correct_num;sex;filter_$
sb0804;awersja - tytoniowy;1;3;3;1;1;1;incorrect;3;3,4898;3;5,6498;om4w;2;1;1;0;1;0;m;1
sb0804;ścieki - oczyszczać;1;2;3;1;1;1;incorrect;3;3,913;3;5,7529;om4w;2;2;1;1;2;0;m;1
sb0804;cygaro - cuchnący;1;3;3;1;1;1;hit;2;2,3797;2;5,4756;om4w;4;3;1;-1;2;1;m;1
sb0804;świnia - szczecina;1;1;4;1;1;1;hit;2;2,3851;2;5,593;om4w;3;3;1;-1;2;1;m;1
sb0804;stołówka - obskurny;1;3;3;1;1;1;hit;2;2,4005;2;5,7124;om4w;5;4;1;2;4;1;m;1
sb0804;kanał - szczur;1;1;4;1;1;1;hit;2;2,4237;2;5,5436;om4w;3;1;1;-1;2;1;m;1
sb0804;przedstawiciel - senat;1;1;4;1;1;1;hit;2;2,4632;3;5,6791;om4w;1;1;1;0;1;1;m;1
sb0804;świętokradztwo - haniebny;1;3;3,25;1;1;1;hit;2;2,4664;2;5,3943;om4w;3;2;2;-1;2;1;m;1
sb0804;żółć - wymiotować;1;2;4,25;1;1;1;hit;2;2,5697;2;5,3856;om4w;3;2;1;-1;2;1;m;1
sb0804;gąsienica - larwa;1;1;4,75;1;1;1;hit;2;2,6117;2;6,9556;om4w;3;2;2;0;2;1;m;1
sb0804;koniak - skacowany;1;3;4,5;1;1;1;hit;2;2,6237;3;5,5756;om4w;2;2;1;-1;2;1;m;1
sb0804;urzędnik - biurowy;1;3;4,5;1;1;1;hit;2;2,645;3;5,5409;om4w;1;1;1;0;1;1;m;1
sb0804;kura - bezgłowy;1;3;3;1;1;1;hit;2;2,6551;2;5,719;om4w;3;3;1;-1;3;1;m;1
sb0804;brodawka - maszkara;1;1;3;1;1;1;hit;2;2,6645;2;5,5605;om4w;5;4;1;-3;3;1;m;1
sb0804;szmata - ohydny;1;3;3,5;1;1;1;hit;2;2,7005;3;5,7324;om4w;2;2;1;-1;2;1;m;1
