Locus	Population	Country	Demography	Sample_size	H_expected	Num_Diff_Alleles	Allelic_Richness	Distance_Addi-Abeda	Pathogen_richness	Virus_pathogens	Non-Virus_pathogens
A	Metalsa	Morocco	SGD	144	0.913201	21	16.595	5217.55	203	40	156
A	Chaouya	Morocco	SGD	134	0.921679	27	19.2989	5416.28	203	40	156
A	Zulu	South Africa	SGD	372	0.935761	28	19.0145	4415.86	225	45	173
A	Cabo Verdeans	Cape Verde	SGD	124	0.921348	22	17.4818	6880.84	195	38	150
A	Cabo Verdeans	Cape Verde	SGD	124	0.929164	27	19.4841	6775.38	195	38	150
A	Guineans	Guinea-Bissau	SGD	130	0.913114	20	16.5565	5872.89	206	39	160
A	Kenyans	Kenya	SGD	286	0.940652	39	20.518	1167.96	232	46	178
A	Kenyans	Kenya	SGD	530	0.93964	30	19.3176	1112.99	232	46	178
A	Kenyans	Kenya	SGD	482	0.927194	28	17.3069	1051.3	232	46	178
A	Dogon	Mali	SGD	276	0.892767	21	14.746	4639.56	218	42	168
A	Ugandans	Uganda	SGD	326	0.932119	34	20.6643	1206.35	235	51	177
A	Mandenka	Senegal	SGD	184	0.915619	24	17.1462	5545.21	227	49	170
A	Zambians	Zambia	SGD	86	0.888315	20	16.2924	2912.09	211	41	162
A	Shona	Zimbabwe	SGD	448	0.917773	30	16.4516	3318.06	217	44	165
A	Yupik	USA	RGD	504	0.609641	16	6.82101	15693.07	240	48	186
A	Seri	Mexico	RGD	64	0.631836	6	5.72737	20645.58	233	43	182
A	Mexicans	Mexico	RGD	116	0.865081	22	16.1332	22215.76	233	43	182
A	Pima	USA	RGD	172	0.667941	10	6.28772	20218.23	240	48	186
A	Brasils	Brazil	SGD	194	0.900544	26	17.5071	26702.06	250	50	193
A	Guarani-Kaiowa	Brazil	RGD	286	0.701858	8	6.11431	28141.66	250	50	193
A	Guarani-Nandewa	Brazil	RGD	102	0.757078	11	8.83403	28252.16	250	50	193
A	Bari	Venezuela	RGD	184	0.580113	5	4.24902	24198.86	230	46	176
A	Korean	South Korea	SGD	382	0.868659	16	11.2366	10968.02	217	39	171
A	Bouriats	Mongolia	SGD	280	0.904769	42	18.3924	9919.37	200	39	154
A	Tuvinians	Russian Federation	SGD	376	0.892849	30	14.1347	8152	235	51	177
A	Han	China	SGD	1138	0.851441	20	11.5046	11868.62	245	49	187
A	Han	China	SGD	564	0.853642	20	12.0328	11925.4	245	49	187
A	Peking Man	China	SGD	3	0.00101	3	12.0328	11900.3	245	49	187
A	Han	China	SGD	1234	0.903673	82	17.8033	13562.79	245	49	187
A	Okinawans	Japan	SGD	210	0.815095	11	8.67011	13251.57	240	48	186
A	Okinawans	Japan	SGD	284	0.821799	24	11.6787	13273.38	215	38	171
A	Malay	Malaysia	SGD	248	0.886818	24	13.9631	11127.797	231	46	176
A	Han	Singapore	SGD	298	0.859512	22	12.1166	11312.15	200	40	153
A	Han	Singapore	SGD	172	0.863666	16	11.4387	11312.15	200	40	153
A	Hakka	Taiwan	SGD	110	0.793049	13	11.1257	12590.22	212	40	165
A	Bunun	Taiwan	RGD	202	0.604435	6	5.32249	12511.3	212	40	165
A	Toroko	Taiwan	RGD	110	0.708889	6	5.67513	12389.46	212	40	165
A	Ami	Taiwan	RGD	196	0.54893	6	5.13307	12690.79	212	40	165
A	Paiwan	Taiwan	RGD	102	0.251331	6	4.97664	12443.34	212	40	165
A	Yami	Taiwan	RGD	100	0.575	5	4.60317	12502.75	212	40	165
A	Puyuma	Taiwan	SGD	100	0.5642	8	7.30542	12461.44	212	40	165
A	Pazeh	Taiwan	SGD	110	0.782958	10	9.04652	12537.07	212	40	165
A	Minnan	Taiwan	SGD	204	0.834088	15	10.7186	12690.79	212	40	165
A	Siraya	Taiwan	SGD	102	0.729328	11	9.5934	12395.93	212	40	165
A	Tsou	Taiwan	RGD	102	0.369123	5	4.71103	12504.94	212	40	165
A	Saisiyat	Taiwan	RGD	102	0.632106	7	6.20101	12576.74	212	40	165
A	Atayal	Taiwan	RGD	212	0.589349	8	6.38368	12677.68	212	40	165
A	Rukai	Taiwan	RGD	100	0.3994	5	4.69882	12461.44	212	40	165
A	Thao	Taiwan	RGD	60	0.584426	7	6.63731	12530.58	212	40	165
A	Thais	Thailand	SGD	196	0.868128	21	13.4175	10681.465	235	42	186
A	Tamouls	India	SGD	100	0.877	16	12.4309	7841.78	245	51	185
A	Kurdes	Georgia	SGD	60	0.920524	16	15.3241	4266	201	41	154
A	Georgian	Georgia	SGD	160	0.888359	23	15.1231	4249.81	201	41	154
A	Georgian	Georgia	SGD	210	0.841531	23	13.3654	4266	201	41	154
A	Indians	India	SGD	176	0.905684	21	14.3352	7455.38	245	51	185
A	Nadars	India	SGD	122	0.854182	8	7.97659	7804.14	245	51	185
A	Pawra	India	SGD	100	0.8736	13	11.6464	7146.04	245	51	185
